"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
2.770974125E0	-5.899609923E-1	-1.944507509E-1	9.805107713E-1	1.160718071E0
2.780931125E0	-5.856770873E-1	-2.441529334E-1	9.777684212E-1	1.165615456E0
2.790887125E0	-5.410182476E-1	-3.128353357E-1	9.791678786E-1	1.161609412E0
2.800844125E0	-4.754939973E-1	-3.936251998E-1	9.770102501E-1	1.155674854E0
2.810800125E0	-4.009880722E-1	-4.779656529E-1	9.634800553E-1	1.147839891E0
2.820757125E0	-3.175467551E-1	-5.301554203E-1	9.548881650E-1	1.137414664E0
2.830713125E0	-2.342798412E-1	-5.314371586E-1	9.517450929E-1	1.114957945E0
2.840670125E0	-1.491210014E-1	-4.950047731E-1	9.515395164E-1	1.082910084E0
2.850626125E0	-9.536322951E-2	-4.202216268E-1	9.549055099E-1	1.047628223E0
2.860583125E0	-6.162794307E-2	-3.047623038E-1	9.544363618E-1	1.003806173E0
2.870539125E0	-5.964069068E-2	-1.903657019E-1	9.415208101E-1	9.624227493E-1
2.880496125E0	-7.344897091E-2	-8.681355417E-2	9.292902350E-1	9.362220279E-1
2.890452125E0	-8.900129795E-2	1.216705423E-3	9.151677489E-1	9.194861174E-1
2.900409125E0	-8.879154176E-2	5.217907950E-2	8.865906000E-1	8.925522317E-1
2.910365125E0	-5.858836323E-2	5.934031680E-2	8.705099225E-1	8.744949369E-1
2.920322125E0	-1.690629683E-2	5.085330084E-2	8.665039539E-1	8.681595379E-1
2.930278125E0	2.557644993E-2	2.419159934E-2	8.751693368E-1	8.758771354E-1
2.940235125E0	5.583750829E-2	-2.849293128E-2	8.976732492E-1	8.998593984E-1
2.950191125E0	8.901730180E-2	-6.813248247E-2	9.118700027E-1	9.187344650E-1
2.960148125E0	1.294285357E-1	-8.882629871E-2	9.175128341E-1	9.308445938E-1
2.970104125E0	1.645572335E-1	-9.354701638E-2	9.129737020E-1	9.323899977E-1
2.980061125E0	1.936975867E-1	-1.100123674E-1	9.037678838E-1	9.308156981E-1
2.990017125E0	2.203395814E-1	-1.470569521E-1	8.968487382E-1	9.351539646E-1
