"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
2.468050167E0	-1.193459518E-2	7.977117784E-4	-1.285873633E-2	1.756183379E-2
2.478006167E0	-1.857099496E-2	-1.630762592E-2	-1.319989190E-2	2.801888047E-2
2.487962167E0	-2.350503206E-2	-2.995100059E-2	-7.318833843E-3	3.877001802E-2
2.497917167E0	-2.972949669E-2	-2.421558835E-2	-4.309360520E-4	3.834610017E-2
2.507873167E0	-2.370276488E-2	-8.006790653E-3	2.452405752E-4	2.501979022E-2
2.517829167E0	-1.694656536E-2	3.303820733E-3	-2.411691006E-3	1.743323155E-2
2.527784167E0	-9.116871282E-3	8.738534525E-3	4.115260963E-4	1.263521592E-2
2.537740167E0	-3.608342726E-3	4.753122106E-3	-3.314714180E-3	6.826392684E-3
2.547696167E0	6.439764518E-3	-8.934194222E-3	-9.021335281E-3	1.423639293E-2
2.557651167E0	1.011425257E-2	-3.065390140E-2	-1.492679212E-2	3.556358951E-2
2.567607167E0	3.157276195E-3	-5.134719610E-2	-1.586688869E-2	5.383550034E-2
2.577562167E0	-8.834309876E-3	-6.771203130E-2	-1.956511289E-2	7.103349813E-2
2.587518167E0	-2.895422466E-2	-7.607356459E-2	-2.316410840E-2	8.462925187E-2
2.597474167E0	-4.367964342E-2	-7.856122404E-2	-2.240297571E-2	9.263730616E-2
2.607429167E0	-5.715204403E-2	-5.462126434E-2	-1.581431553E-2	8.062215099E-2
2.617385167E0	-6.797260791E-2	-2.444102429E-2	-1.649598032E-2	7.409289076E-2
2.627341167E0	-6.554140896E-2	4.336296115E-3	-1.358088478E-2	6.707399036E-2
2.637296167E0	-5.243771896E-2	4.041330889E-2	-6.997274235E-3	6.657260511E-2
2.647252167E0	-3.291115537E-2	5.612383038E-2	-3.976983484E-3	6.518316410E-2
2.657208167E0	-1.500484161E-2	4.641351104E-2	3.327629529E-4	4.877981150E-2
2.667163167E0	1.030052081E-4	1.841516607E-2	9.524397552E-3	2.073265781E-2
2.677119167E0	8.037639782E-3	-1.833286695E-2	9.181153961E-3	2.202251693E-2
2.687075167E0	8.893048391E-3	-4.910089821E-2	9.203790687E-3	5.074144536E-2
2.697030167E0	-2.970971633E-3	-5.329850316E-2	9.842948057E-3	5.428112690E-2
2.706986167E0	-2.299155109E-2	-6.954938173E-2	1.856772974E-2	7.556777427E-2
2.716942167E0	-2.746980451E-2	-9.764053673E-2	2.866329998E-2	1.054032701E-1
2.726897167E0	-2.078633755E-2	-1.023468748E-1	4.067255929E-2	1.120768115E-1
2.736853167E0	8.183361962E-3	-6.358848512E-2	1.021247283E-1	1.205816030E-1
2.746809167E0	6.297496706E-2	5.206620693E-2	1.910402179E-1	2.077813784E-1
2.756764167E0	1.341614276E-1	1.915870160E-1	3.620894849E-1	4.310610960E-1
2.766720167E0	2.307058126E-1	2.356839031E-1	4.759475887E-1	5.790493773E-1
2.776676167E0	3.000456393E-1	2.397633493E-1	5.395095944E-1	6.622570889E-1
2.786631167E0	3.561254144E-1	2.419255674E-1	5.562320948E-1	7.033828503E-1
2.796587167E0	3.736746311E-1	1.833854765E-1	5.601794720E-1	6.978997089E-1
2.806543167E0	3.825125992E-1	1.671588421E-1	5.303547382E-1	6.749326747E-1
2.816498167E0	3.788438141E-1	1.051280051E-1	4.654650092E-1	6.092882797E-1
2.826454167E0	3.479021192E-1	2.963937260E-2	4.038096368E-1	5.338319958E-1
2.836410167E0	2.901400030E-1	-2.494143136E-2	3.485821187E-1	4.542166772E-1
2.846365167E0	2.034189403E-1	-4.970030487E-2	2.952437997E-1	3.619644828E-1
2.856321167E0	1.194067895E-1	-4.547809064E-2	2.195465863E-1	2.540215378E-1
2.866277167E0	7.060863078E-2	-2.262577042E-2	1.298153698E-1	1.494976069E-1
2.876232167E0	3.802967444E-2	-3.631660342E-2	7.456942648E-2	9.124555434E-2
2.886188167E0	-3.726026509E-3	-8.410676569E-2	6.187466905E-2	1.044811274E-1
2.896144167E0	-5.816699564E-2	-1.307390481E-1	7.309749722E-2	1.606839824E-1
2.906099167E0	-1.181336641E-1	-1.558531821E-1	8.367583901E-2	2.127144165E-1
2.916055167E0	-1.634051055E-1	-1.612155288E-1	9.490612894E-2	2.483925292E-1
2.926010167E0	-2.070148885E-1	-1.522260308E-1	1.167813316E-1	2.822513205E-1
2.935966167E0	-2.376375198E-1	-1.143001765E-1	1.447760910E-1	3.008259259E-1
2.945922167E0	-2.544346154E-1	-5.190045387E-2	1.794789433E-1	3.156633044E-1
2.955877167E0	-2.701102495E-1	6.271774881E-3	2.097929120E-1	3.420700922E-1
2.965833792E0	-2.737404108E-1	5.315299332E-2	2.292933762E-1	3.610187053E-1
